,videoId,negative,positive,neutral
0,sGHq_EwXDn8,-1,1,0
1,PRtn1W2RAVU,-1,1,0
2,2CQvBGSiDvw,-1,1,0
3,Cbwv1jg4gZU,-1,1,0
4,cWsCX_yxXqw,-1,1,0
5,pbiSuB3mzmo,-1,1,0
6,6d9ENk3NfBM,-2,1,-1
7,hzrFtZc9EkQ,-1,1,0
8,Je2l7Gw7uns,-1,1,0
9,8Rvl6z80baI,-1,1,0
10,IQpIVsxx014,-1,1,0
12,8lDwd5XM1HQ,-1,1,0
13,ga-RBuhcJ7w,-1,1,0
14,SUQQVKVHRUQ,-2,1,-1
15,72fwlCXy1bw,-1,1,0
16,lq0i6umUQzI,-4,1,-1
17,riVP3Jy3Orc,-1,1,0
18,76CLorQ9n5s,-1,1,0
19,I3qbXSf93bc,-2,1,-1
20,dretZCOvMzw,-1,1,0
21,N-EWoGUzLIc,-1,2,1
22,M6hA-MUFgXo,-1,1,0
23,ezAZ5WVAOyI,-1,1,0
24,pl1Rnz4zNkg,-1,1,0
25,_lpVPh6LeU8,-1,1,0
27,VOpmtCiAhX0,-1,1,0
28,Yglapc3SBmc,-2,1,-1
29,wLW4Tk8Pwdg,-3,1,-1
30,rAam4R1M5zE,-1,1,0
32,sw9pNVc9lw0,-1,1,0
33,iLGgILUqbcc,-1,1,0
34,cl4Uv9_7KJE,-2,1,-1
35,9m3dYb1m7cw,-3,1,-1
36,9t3ERx71ANA,-1,1,0
37,S7Lu-R4EwQw,-1,1,0
38,Qu0DNjp2OsY,-2,1,-1
39,L6sanoP6rY8,-1,1,0
40,mQuGnQEPJPs,-1,2,1
41,FVX60nlzglk,-2,1,-1
43,L0t_5RdQqb0,-1,1,0
44,IDOouqQGZY4,-2,1,-1
48,xsQgDwXmsyg,-1,1,0
50,NvVX3ILhVac,-2,1,-1
58,xnudgOC9D5Y,-3,1,-1
61,38Mw-t5zmyM,-1,1,0
62,K9MaGf-Su9I,-1,1,0
63,5cY7fSbUWA8,-1,1,0
66,yvDRQe2oCt4,-1,1,0
68,8vP00TP6-p0,-1,1,0
70,kl_i4MRYgv0,-1,1,0
76,EXkbdELr4EQ,-2,1,-1
78,1Uu9vCNH6Dk,-3,1,-1
82,PWvLLGcb96k,-1,1,0
87,aewK7Kzf43A,-1,1,0
88,-fkCo_trbT8,-2,1,-1
93,BXKUsTo_f1s,-2,1,-1
97,ZbZwwUEzNLY,-1,1,0
98,dcBXmj1nMTQ,-1,1,0
101,M3Iztt4D2UE,-1,1,0
102,4xkXjj6dalM,-1,1,0
107,KF7cvmXjSyw,-1,1,0
117,FtNTt_3PRoQ,-1,1,0
119,RoQRkmRjz38,-1,1,0
120,BYo7Mo1ncuM,-1,1,0
121,KzjiNDbGZPM,-1,1,0
122,TbW_1MtC2So,-1,1,0
123,fw-g0PVpW2E,-1,1,0
126,M0tENI3ef7Y,-1,1,0
128,ZQGGhtguHns,-1,1,0
129,SU6GMDDXFtw,-2,1,-1
136,WkfTeGcItA0,-1,2,1
140,mO4vtjfabm0,-1,1,0
141,fWH6VGFs2z4,-1,1,0
142,13t0tCV8hW8,-1,1,0
144,Xem9EvvkJSc,-1,1,0
147,YuMtSjq8W-g,-3,1,-1
148,vvhtoL2A8dU,-2,1,-1
149,R_cf5n3UgrU,-2,1,-1
150,P-3ZlFokHfM,-1,1,0
152,9M29ns1rUSE,-1,1,0
153,tAkvNHEnctg,-1,1,0
158,nZIOZwUPNnA,-1,1,0
161,3SD-Mrv7QLQ,-2,1,-1
162,y5cWazcakUw,-1,1,0
163,bVAyj9bYHMw,-1,1,0
165,gPVBDCDmrcU,-1,1,0
168,cQlQL5obqDs,-1,1,0
170,H2QxFM9y0tY,-1,1,0
175,9A7_xCrgX1U,-1,1,0
177,p05YJ5if8Ew,-1,1,0
178,7WPsMsYCtjk,-1,1,0
179,ssuevV4eyqM,-3,1,-1
184,vWrF_ZHymoE,-1,1,0
186,yyAuWeoTm2s,-1,1,0
187,Av9SW1yw5lg,-3,1,-1
189,nxhEXwaDyxM,-2,1,-1
191,Ld47QsQHM7c,-1,1,0
192,6EFHZfISGp4,-1,1,0
193,5nGYkH9ifzM,-1,1,0
195,gU9hPfx12GA,-1,1,0
203,JtHHnBUmc0g,-1,1,0
205,rv3DPaMaS2g,-1,1,0
206,1hhzrormtP4,-1,1,0
210,0sMwKLkW4lI,-1,1,0
212,wzjVT07bcYA,-1,1,0
213,cvjbXYdh8x0,-2,1,-1
214,VX5ku0LbMMk,-1,1,0
217,j43XK0wzMd4,-4,1,-1
222,1yeANLOHnJ8,-3,3,-1
224,fKXg-SUP5P4,-2,1,-1
230,YE7kwNXqV30,-1,1,0
232,Ix5U2S8UXPA,-2,1,-1
234,2efYeNroXvg,-1,1,0
235,gSXOxrjCA40,-1,1,0
238,6_VJXHfMevM,-1,1,0
239,-4k3AzfYuJg,-1,1,0
240,EagrIPTCqrg,-1,1,0
249,7yNhCDMB0ls,-1,1,0
250,_jA8k4YDzlo,-1,1,0
251,lpGUzz-tjWs,-1,1,0
252,qCeBPeBjKcA,-1,1,0
253,WVc-Y-mJ_uY,-2,2,-1
255,nu0f86EkzS8,-2,1,-1
258,nkoRm9A7xr8,-1,1,0
262,DMbu9w4pDXE,-1,1,0
264,X7Wv0AZC_D4,-1,1,0
268,sGx6P2UR8Ig,-1,1,0
276,61hsoU0AIK4,-1,1,0
280,FHUHsBnpCj8,-1,1,0
285,Ez4qvsR-gHQ,-1,1,0
286,UDlHcxWtbvw,-1,1,0
288,STeynRkoU3s,-3,2,-1
292,BWJBOwSa4h8,-1,1,0
293,e3duOpZlD9E,-1,1,0
302,EyMAmakw1dU,-1,1,0
304,11FCyUB81rI,-1,1,0
306,FDWAEKQ0KkU,-1,1,0
307,sSF8uFoSm1M,-3,1,-1
308,5Z9OZE_TypE,-1,1,0
309,GaUi64HwUZg,-1,1,0
310,TMF9aMI-9ek,-1,1,0
311,IagqMq4wfCc,-1,1,0
313,2iC-G7KXTBU,-1,1,0
314,8paPxMzc0mo,-1,1,0
316,o_dshuJTxLI,-1,1,0
317,fqqPjRNXgdA,-1,1,0
319,-61c8EQ8qro,-1,1,0
321,Opy-a_oW3Bw,-1,1,0
322,7GTtCtXJJ0Y,-1,1,0
323,KEkmIErcgT4,-1,1,0
324,AFvTrdOqdXo,-1,1,0
325,oSqmCNNV2dQ,-1,1,0
326,bW3IQ-ke43w,-1,1,0
328,ikz5JHfPQ6k,-1,1,0
329,KArS5ArSYY4,-2,1,-1
331,c7lCRYf9rHo,-2,1,-1
332,u9KxE4Kv9A8,-1,1,0
333,ba1tND0B0xk,-1,1,0
334,vqKLTEQjew4,-1,1,0
338,KAJsdgTPJpU,-1,1,0
339,7OxgWkhozQU,-1,1,0
341,vZIC6hJ_fCE,-2,2,-1
344,DYqtXR8iPlE,-2,1,-1
345,N1cdCUZNh04,-1,1,0
347,_WY7FEYN3QI,-1,1,0
349,oDjuoBAtLWA,-4,1,-1
351,UvHMhZ1T964,-1,1,0
353,rYxt0BeTrT8,-2,1,-1
355,7f5NVJTqPaU,-3,1,-1
358,L0ryCJVAGZE,-1,1,0
360,-PSR_OutuIw,-1,1,0
362,RA4mIbQo52k,-1,1,0
364,9Pqp_8XLC6c,-1,1,0
370,0__6kx-vTO4,-2,2,-1
373,jOHuUeZzPh0,-1,1,0
376,1tRDnjl_gwY,-3,1,-1
379,Da5-n9pf6sM,-2,1,-1
380,z9ALFf6eQI0,-1,1,0
383,088j0n0XxQE,-1,1,0
385,WRgv4V1ZxN4,-1,1,0
388,WR6uSXW-8p4,-1,1,0
389,rhQVustYV24,-1,1,0
390,kQozp2xZ3Q0,-2,1,-1
391,jOYvuLIwWEQ,-1,1,0
394,pj5ZLwtoAmI,-1,1,0
396,G-YdVrhAoNU,-1,1,0
397,n0bqG1GzlHU,-1,1,0
400,LRfwnxQN1Lw,-1,1,0
402,oQbftR8pG78,-3,1,-1
404,J__4V0ujlaU,-2,1,-1
405,78iIQdKmodc,-1,1,0
406,zvOcuZ3-FO8,-1,1,0
407,-BvcToPZCLI,-3,1,-1
409,YrnlZXeC1nM,-1,1,0
410,tNwkY_V_BPI,-1,1,0
415,8l-dhwqd2UM,-1,1,0
416,WFV-rcaBG9g,-2,1,-1
417,_XugW-yg2XI,-1,1,0
418,uo8qXxnFuRQ,-1,3,1
421,mapriv3vWBA,-3,1,-1
422,f6URRc-0Z1o,-2,1,-1
426,pYtEukvKjLc,-3,1,-1
427,w3FBLKHG-9M,-1,1,0
428,oCVQdr9QFwY,-1,1,0
431,ZPMy2Yw8teM,-1,1,0
432,vtMHfFxwg3U,-1,1,0
434,OYtAGTe9MjY,-1,2,1
436,wRk1p8Lzwvo,-1,1,0
437,4sSJpKTdwFo,-1,1,0
439,AJkFuRzJNoQ,-1,1,0
440,tffj_82IRsg,-3,1,-1
441,1CnyqLogH0Y,-2,1,-1
442,FP-9l6BeagE,-2,1,-1
443,MeKAdOySB_E,-1,1,0
445,VM4d66igm9w,-2,1,-1
448,9iAD_heE2kU,-2,1,-1
449,SQY7VOQF8sY,-1,1,0
450,cZwQN4JpJ8s,-1,1,0
451,DhhVr5iLF-c,-1,1,0
453,XL1rpFCBg5s,-1,1,0
454,BzPjWpkNWiU,-1,2,1
456,f2Wr7lDI-Hg,-1,1,0
457,3fQHpXkI-vc,-1,1,0
459,QpLdpjcHhqs,-1,1,0
463,DMTwbV9UqHA,-1,1,0
466,zIvjHSvzFLU,-1,1,0
467,9rkDTXEOpEM,-1,1,0
468,t-uRB26a-sg,-2,1,-1
469,9zcGrc2xcO0,-1,1,0
470,vapTJLUSvpQ,-1,1,0
471,zMQ0xQrgBms,-1,1,0
472,j8ZrRL2lbsA,-1,1,0
474,JYZpxRy5Mfg,-1,1,0
475,38dqOdQFdRI,-1,1,0
476,BFp3Q3WdVWI,-1,1,0
481,BQ4rBLCpEeM,-3,1,-1
482,00cKGt9v1as,-1,1,0
483,UgHNg-N-ENI,-1,1,0
484,dsyW3QjBQHU,-1,1,0
486,U3r-TzeSzrc,-1,1,0
487,8ISePLL1wcw,-1,1,0
490,w38fhmZkz64,-1,1,0
493,ZgdTHVcv1o8,-1,1,0
495,i-qBOyrD0-0,-1,1,0
